Distance (in),Time (s),X (in),Y (in),Velocity (in/s),Orientation (deg)
205.3411119,2.57477695,241.8592317,106.5175221,105.4097696,37.29511519
206.3411119,2.584389704,242.8588329,106.4892822,102.6471685,38.67641575
207.3411119,2.594264699,243.858434,106.4610422,99.88456736,40.05771632
208.3411119,2.604416647,244.8580352,106.4328023,97.12196624,41.43901688
209.3411119,2.614861529,245.8576364,106.4045624,94.35936511,42.82031744
210.3411119,2.625616754,246.8572376,106.3763225,91.59676399,44.20161801
211.3411119,2.636701328,247.8568387,106.3480826,88.83416286,45.58291857
212.3411119,2.64813606,248.8564399,106.3198426,86.07156174,46.96421913
213.3411119,2.659943793,249.8560411,106.2916027,83.30896061,48.34551969
214.3411119,2.672149683,250.8556423,106.2633628,80.54635949,49.72682026
215.3411119,2.684781518,251.8552434,106.2351229,77.78375836,51.10812082
216.3411119,2.697870103,252.8548446,106.2068829,75.02115724,52.48942138
217.3411119,2.711449705,253.8544458,106.178643,72.25855611,53.87072194
218.3411119,2.725558604,254.854047,106.1504031,69.49595499,55.25202251
219.3411119,2.740239732,255.8536481,106.1221632,66.73335386,56.63332307
220.3411119,2.75554147,256.8532493,106.0939233,63.97075274,58.01462363
221.3411119,2.771518603,257.8528505,106.0656833,61.20815161,59.39592419
222.3411119,2.788233506,258.8524516,106.0374434,58.44555048,60.77722476
223.3411119,2.805757613,259.8520528,106.0092035,55.68294936,62.15852532
224.3411119,2.82417326,260.851654,105.9809636,52.92034823,63.53982588
225.3411119,2.843576024,261.8512552,105.9527236,50.15774711,64.92112645
226.3411119,2.864077723,262.8508563,105.9244837,47.39514598,66.30242701
227.3411119,2.885810312,263.8504575,105.8962438,44.63254486,67.68372757
228.3411119,2.908931034,264.8500587,105.8680039,41.86994373,69.06502813
229.3411119,2.933629318,265.8496599,105.8397639,39.10734261,70.4463287
230.3411119,2.960136207,266.849261,105.811524,36.34474148,71.82762926
231.3411119,2.988737511,267.8488622,105.7832841,33.58214036,73.20892982
232.0840966,3.011810969,268.5918442,105.7853043,30.81953923,74.59023038
232.8270814,3.037049733,269.3332771,105.8333005,28.05693811,75.97153095
233.5700661,3.064902292,270.0703185,105.9270889,25.29433698,77.35283151
234.3130509,3.095972572,270.8001431,106.0663098,22.53173586,78.73413207
235.0560356,3.131101152,271.5199529,106.2504296,19.76913473,80.11543264
235.7990204,3.171507474,272.2269887,106.4787424,17.0065336,81.4967332
236.5420052,3.219057789,272.91854,106.7503731,14.24393248,82.87803376
237.2849899,3.276820832,273.5919556,107.0642802,11.48133135,84.25933432
238.0279747,3.350383454,274.2446542,107.4192605,8.718730229,85.64063489
238.7709594,3.451642994,274.8741334,107.813953,5.956129103,87.02193545
239.5139442,3.61405012,275.4779803,108.2468448,3.193527978,88.40323601
240.2569289,4.0240344,276.0538799,108.7162764,0.430926853,89.78453657
240.9999137,7.472344704,276.5996245,109.2204481,0,0
241.7428984,8.330904863,277.113122,109.7574273,1.730769231,1.381300563
242.4858832,8.617091582,277.592404,110.3251554,3.461538462,2.762601125
243.2288679,8.788803614,278.035633,110.9214559,5.192307692,4.143901688
243.9718527,8.911455066,278.44111,111.5440431,6.923076923,5.525202251
244.7148374,9.006850639,278.8072805,112.1905301,8.653846154,6.906502813
245.4578222,9.084901562,279.1327408,112.8584387,10.38461538,8.287803376
246.2008069,9.150944651,279.4162433,113.5452085,12.11538462,9.669103939
246.9437917,9.208181995,279.6567012,114.2482066,13.84615385,11.0504045
247.6867764,9.258685534,279.8531926,114.9647382,15.57692308,12.43170506
248.4297612,9.303872911,280.0049643,115.6920563,17.30769231,13.81300563
